| 참고문헌 | 상태 | HTTP | GitHub 미러 | URL |
| ref-058 | 정책 차단 | - | - | https://www.ijcai.org/proceedings/2024/885 |
| ref-059 | 정책 차단 | - | - | https://arxiv.org/abs/2411.09022 |
| ref-060 | 정책 차단 | - | - | https://doi.org/10.1177/20552076261437181 |
| ref-061 | 정책 차단 | - | - | https://arxiv.org/abs/2403.12761 |
| ref-062 | 정책 차단 | 403 | - | https://github.com/CubiCasa/CubiCasa5k |
| ref-063 | 정책 차단 | - | - | https://arxiv.org/abs/1904.01920 |
| ref-064 | 정책 차단 | 403 | - | https://github.com/zlzeng/DeepFloorplan |
| ref-065 | 정책 차단 | 403 | - | https://github.com/art-programmer/FloorplanTransformation |
| ref-066 | 정책 차단 | - | - | https://floorplancad.github.io/ |
| ref-067 | 정책 차단 | - | - | https://arxiv.org/abs/2105.07147 |
| ref-068 | 정책 차단 | - | - | https://huggingface.co/datasets/Voxel51/FloorPlanCAD |
| ref-069 | 정책 차단 | 403 | - | https://github.com/MLSTRUCT/MLStructFP |
| ref-070 | 정책 차단 | 403 | - | https://github.com/SizheHu/Raster-to-Graph |
| ref-071 | 정책 차단 | 403 | - | https://github.com/m-agour/ResPlan |
| ref-072 | 정책 차단 | 403 | - | https://github.com/caspervanengelenburg/msd |
| ref-073 | 정책 차단 | - | - | https://arxiv.org/abs/2503.22346 |
| ref-074 | 정책 차단 | - | - | https://aihub.or.kr/aihubdata/data/view.do?dataSetSn=71465 |
| ref-075 | 정책 차단 | - | - | https://www.researchgate.net/publication/270597635_CVC-FP_and_SGT_a_new_database_for_structural_floor_plan_analysis_and_its_groundtruthing_tool |
| ref-076 | 정책 차단 | - | - | https://arxiv.org/abs/2409.12842 |
| ref-077 | 정책 차단 | - | - | https://arxiv.org/abs/2508.07714 |
| ref-078 | 정책 차단 | - | - | https://arxiv.org/abs/2408.01526 |
| ref-079 | 정책 차단 | - | 열림(원문) | https://osrf.github.io/ros2multirobotbook/traffic-editor.html |
| ref-080 | 정책 차단 | - | 열림(원문) | https://osrf.github.io/ros2multirobotbook/integration_nav-maps.html |
| ref-081 | 정책 차단 | - | - | https://arxiv.org/abs/2308.05443 |
| ref-082 | 정책 차단 | 403 | - | https://github.com/MigVega/Ogm2Pgbm |
| ref-083 | 정책 차단 | - | - | https://arxiv.org/abs/2507.00552 |
| ref-084 | 정책 차단 | 403 | - | https://github.com/jiajiezhang7/osmAG-from-cad |
